Seq_No,Lat,Lon,Page_No,Line_No,Quotation
1,59.2685,15.7591,8,7,Sw. and Dan. hval
2,55.72,12.57,8,7,Sw. and Dan. hval
3,55.72,12.57,8,8,for in Dan. hvalt is arched
4,52.25,4.667,8,10,from the Dut. and Ger. Wallen
5,51,9,8,10,from the Dut. and Ger. Wallen
6,50.9212,-0.2187,8,11,"A.S. Walw-ian, to roll, to wallow"
7,31.7833,35.2167,8,13,"??, Hebrew."
8,38.3228,22.2592,8,14,"KETOS,               Greek."
9,41.9,12.5,8,15,"CETUS, Latin."
10,50.9212,-0.2187,8,16,"WHAEL, Anglo-Saxon."
11,55.72,12.57,8,17,"HVALT, Danish."
12,52.25,4.667,8,18,"WAL, Dutch."
13,59.2685,15.7591,8,19,"HWAL, Swedish."
14,64.8343,-18.977,8,20,"WHALE, Icelandic."
15,50.9212,-0.2187,8,21,"WHALE, English."
16,46,2,8,22,"BALEINE, French."
17,40.6986,-3.2949,8,23,"BALLENA, Spanish."
18,-18.1667,178.45,8,24,"PEKEE-NUEE-NUEE, Fegee."
19,-18.8,169.0667,8,25,"PEHEE-NUEE-NUEE, Erromangoan."
21,41.903,12.452,9,4,long Vaticans and street-stalls of the earth
22,36.6667,-6.1167,9,14,even Pale Sherry would be too rosy-strong
23,51.4033,-0.3375,9,19,Would that I could clear out Hampton Court
24,48.8639,2.3261,9,19,and the Tuileries for ye!
25,4.5655,66.4453,10,18,The Indian Sea breedeth
26,32.3,-64.7833,12,5,Waller's Battle of the Summer Islands
27,78.9,18.0167,12,32,"Thomas Edge's Ten Voyages to Spitzbergen, in Purchass"
28,49.838,105.8203,13,4,Sir T. Herbert's Voyages in Asia and Africa.
29,9.1021,18.2812,13,4,Sir T. Herbert's Voyages in Asia and Africa.
31,60.2452,-1.613,13,14,of a whale taken near Shetland
32,78.9,18.0167,13,16,a whale in Spitzbergen that was white all over
33,67.1039,-50.3323,13,18,"A Voyage to Greenland, A.D. 1671"
34,56.3404,-2.7955,13,20,upon this coast (Fife).
35,56.0587,-3.5057,13,23,garden of Pitferren
36,56.3404,-2.7955,13,24,Sibbald's Fife and Kinross
37,56.2,-3.4167,13,24,Sibbald's Fife and Kinross
38,32.3,-64.7833,13,28,Richard Stafford's Letter from the Bermudas
39,-14.6048,-59.0625,13,38,Ulloa's South America
40,49.838,105.8203,14,14,which some Asiatics had killed
41,64.8343,-18.977,14,21/22,Uno Von Troil's Letters on Banks's and Solander's Voyage to Iceland in 1772
42,41.2833,-70.1,14,23,found by the Nantuckois
43,40.6986,-3.2949,14,30,Spain--a great whale stranded
44,53,9,14,30,on the shores of Europe
